title,price,is_a_bid,link
"IT, Stephen King (1986, HC/DJ) Hardcover",19.99,FALSE,https://www.ebay.com/itm/255734842555?hash=item3b8afc04bb:g:R5cAAOSwUaBjKORp&amdata=enc%3AAQAHAAAAoG%2B0JOh2cG1UzbxMOJivb6kep9LFOVLd6cRm43uqbHOJUIlgU1W7vueeunPnjXINwoPU4qepe3x%2Fb%2F1YFZCeHDNgu3tGgXubPeV%2Bu1yn95xLJvVNIsHgGORCkrU5EAtZFPYKQ2zuTvjxRuVSXK7TEAxG42zp0YFc9Ip7Goyp2Y44m8AuTiZJd8JMJlBUJl2iy%2BpVPhVPJVNRWzMXcLrAUg8%3D%7Ctkp%3ABk9SR4y_ic_tYA
Shop on eBay,20,FALSE,https://ebay.com/itm/123456?hash=item28caef0a3a:g:E3kAAOSwlGJiMikD&amdata=enc%3AAQAHAAAAsJoWXGf0hxNZspTmhb8%2FTJCCurAWCHuXJ2Xi3S9cwXL6BX04zSEiVaDMCvsUbApftgXEAHGJU1ZGugZO%2FnW1U7Gb6vgoL%2BmXlqCbLkwoZfF3AUAK8YvJ5B4%2BnhFA7ID4dxpYs4jjExEnN5SR2g1mQe7QtLkmGt%2FZ%2FbH2W62cXPuKbf550ExbnBPO2QJyZTXYCuw5KVkMdFMDuoB4p3FwJKcSPzez5kyQyVjyiIq6PB2q%7Ctkp%3ABlBMULq7kqyXYA
2 x Ça Lot Livres #2 3 Horreur en Français 90s par Stephen King It Books French,20,FALSE,https://www.ebay.com/itm/334548645804?hash=item4de4a737ac:g:4McAAOSwjZpjAois&amdata=enc%3AAQAHAAAA4HgWIcjrpayOSy9H3YotuNG5xSLEbvlZvZV%2FngWw0UtEHwPUE4VEZ9T4EptNky1dpoRJDN0x0lyOzFm7gyfpd2cw1UyYkmlF1tg2EkFu6qNvk9MBh7VWwz%2BYbttZOYWj0XmDU0uI8fLIlXZRbnOJlMqawWHkQT7p%2BVA%2BF5ZZG3N1kzO5DumpcMPu7iYK0RvAHUQDYJWvl0cD6Zma9RgY5kWw9SuVAdnQp%2F6ktvwWsw%2BFoGv3C%2BaOICX1VIzNyDzdfHJCf6NzoeMDJ7XKP0AylX67yub5qqJgtapYp8nNJQBP%7Ctkp%3ABk9SR46_ic_tYA
Stephen King Paperback Lot 8 Shining Dead It Zone Green Mile Stand Bones Sunset,20,FALSE,https://www.ebay.com/itm/394198963789?hash=item5bc816d64d:g:yLMAAOSwR4Vi9bb9&amdata=enc%3AAQAHAAAA4F9Tl4QBBfEsw9a2OSqIzns%2Bik%2FCp%2FCg4cMRy6rt%2FUmXBQOif%2F9qlUGm8AV8G7Oqym2UG50CJI5zlA4yNtH7FRUEkpfmpH4%2F1ou7nKF2K42Cax9RwuF1Mk7dmq9F9OslE3X6G83XOJjcyFzYkQae4BbIc7o7%2BeCXfIrZrDhCqpgARkTkEJxf79AzMqowMg3pa4wwMNyhpUhMrokVcO%2BIDUHe3d36zHGqQSG9zJoZ6nhHTFaCVtUb3Q3D0CSqa%2B8EVZuN7StJTUEHywrdIClX%2BoWMu88Rs3rUaxnd79ZkPM%2FO%7Ctkp%3ABFBMjr-Jz-1g
IT by Stephen King Mass Market Paperback Signet 6951 Rare Cover,20,FALSE,https://www.ebay.com/itm/313306595913?hash=item48f2874249:g:DVsAAOSw2mhftdEp&amdata=enc%3AAQAHAAAA4AbKmoaSjwxU9HiHkuMuJPsTNXS%2BaFFyj7PtdSra00Nli84%2FQpHB%2FbgzEQKHJXXot%2FSU2GCnwBlHhxYfMhzhX3n29yNokkVRAlU%2F7P%2FAHG05g%2BemGF%2FOMqWOJs5UeRbQR%2BOZcaViJvY8piUz7B%2FocqP%2B6JtUMMepbSZK26O%2BdvqCQOKLH6osAwPqTqSgkGNkb3NJhmIGSqLB1ZtfNFp5k064yQTVAlXyIln9yNTJaqWv8sR9X%2FftjFiQv3sgL7qrSm2efRU0%2BagL1WNoCqcYupkzE%2FysbtyhNP0JLV99CKwa%7Ctkp%3ABk9SR5K_ic_tYA
It (Eso) by Stephen King (Spanish) Paperback Book,20.17,FALSE,https://www.ebay.com/itm/392453997113?epid=20038428146&hash=item5b6014c239:g:WkMAAOSwZCljLe~T&amdata=enc%3AAQAHAAAA4DabqheYHep115THjW64gaBFRfmQvSujrVUY%2FuFjI39ZjsmMhogClzr%2FRaDV%2F4TnOyhS9Gz0KsFGn3ck1cDT7Sz6IqG7%2B5yBBfQOT20kKh7cKUp3WxsM%2FgGR%2B2mCI350oXxE7wenlH7qo5I8v5Msd9qyTFkaI68Tj5vlAGbQ8IncsVpCTLw4vfpOv0WTEsA%2BqGf5Kx91p1sPTnhcfyQbrh0hMQ0agv3NXvkSaK5s1wIv5ovHX%2F4H6KvsaFgW%2BPjKp%2BN2CVyLy4dAsZO1rlMvH1joEVji0qvYkT8GEyDAEc55%7Ctkp%3ABFBMkL-Jz-1g
"stephen king p/b book lot of 11 misery,it,green mile,shining,christine,and more",22,TRUE,https://www.ebay.com/itm/255732841482?hash=item3b8add7c0a:g:c6gAAOSwHsRjJ0Au&amdata=enc%3AAQAHAAAAoFwDqdvdf6yRhVgseqrCV2zwx3dnojE7Xm5dpxGO9leHNAbblVSm9nKioP5yYJwDGb9ozxgeiLS3DTTF9IFq29Ys1F8YoO5QVSidg8R3ISj1dQUVWwsSKjMHtDhznkBbgxH4ZanFyRyS%2FJty%2BqBGZ5VAR1Baz%2FhGWyJvA2%2FYZqWDyRT0Ztkeb%2BkcI3KrIEA8PRhprbBfo3Zn6Jp%2FaqypQUM%3D%7Ctkp%3ABk9SR4y_ic_tYA
Stephen King Lot of 4 Books - It - Desperation - Talisman - Fire starter - HC,23.74,FALSE,https://www.ebay.com/itm/354127262767?hash=item5273a1342f:g:9bIAAOSwmm1iteJO&amdata=enc%3AAQAHAAAAoKPony7V9H89%2FKURPEHa7FQ3B7uS0sTgDKkGRUsA2Lg032k3x%2FInR5Hw8%2FshfV2mOUDsucd54diWkd%2F5Mh7MZpJj4sfnADbXyQo2bYOWcbufOJRMjweIDPYg%2Fjin7fw1RFp8Na4d2J%2FjXbems28u6Z%2Bw6jx%2Bw%2BkSkMkeK0DLFdoerh1DoXuvZFnWgKaIg3vnLtKD5xFW8exsstSiLJd%2BAks%3D%7Ctkp%3ABk9SR5C_ic_tYA
"It: A Novel - Hardcover By King, Stephen - First Scribner Hardcover Ed. - GOOD",23.97,FALSE,https://www.ebay.com/itm/155003723740?epid=237530963&hash=item2416f11fdc:g:3A0AAOSwsUViiEOa&amdata=enc%3AAQAHAAAA4BEkeWegp3psPO8b2uxGY4klKcsc2AnoBV42dHSllzChftbw%2BecqaADhdA3OjCoJCewLT6nOS3j2LlMzPvTfcZnfvhCG2yRsi2Lg7PZhDo%2BoH1LdeO1hMkX4Asm4ECubiicNef6VYQW%2BNoFE9eCC2R06w2GpLjZ9A3qL9%2F4Ot33oVIADJtwPWk%2B9kY0BVAsdeL2uFQ0%2FhD7kwmk1TCc%2BmYU4eVKJp7OexSIiuRm67pyHowdU0wLG2zqmJMzsrw8yWqNgJZj%2B8OzS1mgjDbkT4G1lfVlUelp55a9%2FCmOpP7g3%7Ctkp%3ABk9SR5K_ic_tYA
New ListingIT by Stephen King TRUE $22.95 First Edition Viking Hardcover,25,TRUE,https://www.ebay.com/itm/175426193897?epid=490966&hash=item28d83749e9:g:glQAAOSwiTNgAEMG&amdata=enc%3AAQAHAAAAoMybtkrql1uvyK8VESXK6ufID%2FN%2BjIeQBckkePuGtW%2FH%2BKEAKj1JPfy36CDiRRQKOSv1LAmUY2AJxXY%2FDgS%2Fon3MW%2F%2BWVzsGt8Gh2cefg1HhirYsF7FI%2FQguxhrlHOwbaOn2LweGsXMPjbyDAwVVgBb%2B%2B%2BH0Upsi5iwmo6HxpDnRb%2B4G8xVQTHYO%2BILdunSSKZlg7Dr%2FWa6MDm%2Ba%2BT%2FBTPs%3D%7Ctkp%3ABk9SR5S_ic_tYA
